Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,"7,687","14,738","22,425"
February 28 2017,"7,888","15,206","23,094"
March 31 2017,"8,092","15,596","23,688"
April 30 2017,"8,286","16,104","24,390"
May 31 2017,"8,497","16,569","25,066"
June 30 2017,"8,751","16,986","25,737"
July 31 2017,"8,931","17,379","26,310"
August 31 2017,"9,147","17,678","26,825"
September 30 2017,"9,374","18,078","27,452"
October 31 2017,"9,649","18,524","28,173"
November 30 2017,"9,888","18,877","28,765"
December 31 2017,"10,120","19,185","29,305"
January 31 2018,"10,534","19,733","30,267"
February 28 2018,"10,833","19,976","30,809"
March 31 2018,"11,180","20,393","31,573"
April 30 2018,"11,514","20,924","32,438"
May 31 2018,"11,933","21,701","33,634"
June 30 2018,"12,356","22,434","34,790"
July 31 2018,"12,649","22,984","35,633"
August 31 2018,"12,963","23,577","36,540"
September 30 2018,"13,292","24,162","37,454"
October 31 2018,"13,640","25,519","39,159"
November 30 2018,"14,020","26,781","40,801"
December 31 2018,"14,343","27,722","42,065"
January 31 2019,"14,726","29,111","43,837"
February 28 2019,"14,891","29,688","44,579"
March 31 2019,"15,039","30,029","45,068"
April 30 2019,"15,294","31,050","46,344"
May 31 2019,"15,559","31,746","47,305"
June 30 2019,"15,808","32,577","48,385"
July 31 2019,"16,071","33,559","49,630"
August 31 2019,"16,275","34,308","50,583"
September 30 2019,"16,507","35,074","51,581"
October 31 2019,"16,788","36,648","53,436"
November 30 2019,"16,960","37,100","54,060"
December 31 2019,"17,130","37,753","54,883"
January 31 2020,"17,353","39,784","57,137"
February 29 2020,"17,465","40,266","57,731"
March 31 2020,"17,607","40,999","58,606"
April 30 2020,"17,566","41,344","58,910"
May 31 2020,"17,579","41,336","58,915"
June 30 2020,"17,679","41,598","59,277"
July 31 2020,"17,815","42,998","60,813"
August 31 2020,"17,962","43,596","61,558"
September 30 2020,"18,173","44,165","62,338"
October 31 2020,"18,427","45,183","63,610"
November 30 2020,"18,601","46,541","65,142"
December 31 2020,"18,891","47,339","66,230"
January 31 2021,"19,223","48,907","68,130"
February 28 2021,"19,511","49,775","69,286"
March 31 2021,"19,867","50,600","70,467"
April 30 2021,"20,324","52,466","72,790"
May 31 2021,"20,726","53,711","74,437"
June 30 2021,"21,314","54,831","76,145"
July 31 2021,"21,718","56,880","78,598"
August 31 2021,"22,133","58,404","80,537"
September 30 2021,"22,461","59,603","82,064"
October 31 2021,"22,873","61,327","84,200"
November 30 2021,"23,282","62,963","86,245"
December 31 2021,"23,562","64,465","88,027"
January 31 2022,"23,898","66,056","89,954"
February 28 2022,"24,202","67,654","91,856"
March 31 2022,"24,656","69,252","93,908"
April 30 2022,"25,014","71,653","96,667"
May 31 2022,"25,483","73,041","98,524"
June 30 2022,"25,996","74,724","100,720"
July 31 2022,"26,300","77,180","103,480"
August 31 2022,"26,755","79,494","106,249"
September 30 2022,"27,094","80,967","108,061"
October 31 2022,"27,445","84,245","111,690"
November 30 2022,"27,794","87,549","115,343"
December 31 2022,"28,219","89,908","118,127"
January 31 2023,"28,748","93,187","121,935"
February 28 2023,"29,289","95,641","124,930"
March 31 2023,"29,942","98,155","128,097"
April 30 2023,"30,862","101,503","132,365"
May 31 2023,"31,619","104,960","136,579"
June 30 2023,"32,441","108,391","140,832"
July 31 2023,"32,982","111,828","144,810"
August 31 2023,"33,675","116,807","150,482"
